	word	quideword	cerf	pos
471	balcony	HOUSE ETC.	B1	noun
472	bathtub		B1	noun
473	cabin	HOUSE	B1	noun
474	candle		B1	noun
475	chest of drawers		B1	noun
476	attic		B2	noun
477	barrier	FENCE	B2	noun
478	basement		B2	noun
479	bench		B2	noun
480	brick		B2	noun
481	cellar		B2	noun
482	chimney		B2	noun
483	cloth	FOR CLEANING	B2	noun
484	column	BUILDING	B2	noun
485	balcony	THEATER	C2	noun
486	air conditioning		B1	noun
487	architecture	STYLE	B1	noun
488	bed	FOR SLEEP	A1	noun
489	carpet		A2	noun
490	bank	MONEY	A1	noun
491	cent		A2	noun
492	account	BANK	B1	noun
493	bill	MONEY	B1	noun
494	coin		B1	noun
495	award	PRIZE	B2	noun
496	balance	MONEY	B2	noun
497	bank account		B2	noun
498	budget		B2	noun
499	bid	BUY	C2	noun
500	cash	NOTES/COINS	A2	noun
501	change	MONEY	B1	noun
502	change	COINS	B1	noun
503	borrow	GET	A2	verb
504	change	MONEY	A2	verb
505	borrow	MONEY	C1	verb
506	beach		A1	noun
507	area	REGION	A2	noun
508	bay	WATER	B1	noun
509	branch	TREE	B1	noun
510	breeze		B1	noun
511	cave		B1	noun
512	cliff		B1	noun
513	coast		B1	noun
514	atom		B2	noun
515	bank	RIVER	B2	noun
516	berry		B2	noun
517	bush		B2	noun
518	carbon footprint		B2	noun
519	cloud	SMOKE/DUST	B2	noun
520	bed	BOTTOM	C2	noun
521	air	GAS	A2	noun
522	aluminum		B2	noun
523	carbon		B2	noun
524	carbon dioxide		B2	noun
525	carbon monoxide		B2	noun
526	climate change		B2	noun
527	astronomy		C2	noun
528	cloud	WATER	A2	noun
529	climate	WEATHER	B1	noun
530	acid		B2	noun
531	coastline		C2	noun
532	bottom	SEA/RIVER/LAKE	B1	noun
533	atmosphere	AIR INSIDE	B2	noun
534	blow	WIND	B1	verb
535	break	STORM	C2	verb
536	boil	HEAT LIQUID	B1	verb
537	bath		A1	noun
538	check	EXAMINATION	B1	noun
539	act	THING DONE	B2	noun
540	attempt		B2	noun
541	capture		C1	noun
542	come	MOVE TO SPEAKER	A1	verb
543	come	GO WITH SOMEONE	A1	verb
544	act	BEHAVE	B1	verb
545	behave	IN A PARTICULAR WAY	B1	verb
546	blow	PERSON	B1	verb
547	act	DO SOMETHING	B2	verb
548	adjust	CHANGE BEHAVIOR	B2	verb
549	campaign		C1	verb
550	cling	HOLD TIGHT	C2	verb
551	carry	HOLD	A1	verb
552	clean	REMOVE DIRT	A1	verb
553	color	APPEARANCE	A1	verb
554	add	PUT WITH	A2	verb
555	add	CALCULATE	A2	verb
556	bring	TAKE WITH YOU	A2	verb
557	brush	CLEAN/ARRANGE	A2	verb
558	collect	KEEP	A2	verb
559	achieve		B1	verb
560	attach	CONNECT	B1	verb
561	attempt		B1	verb
562	avoid	STAY AWAY FROM	B1	verb
563	bury	DEAD BODY	B1	verb
564	cancel		B1	verb
565	carry	HAVE WITH YOU	B1	verb
566	catch	STOP ESCAPING	B1	verb
567	circle	DRAW	B1	verb
568	collect	BRING TOGETHER	B1	verb
569	acquire	LEARN	B2	verb
570	adapt	CHANGE SOMETHING	B2	verb
571	adjust	CHANGE	B2	verb
572	adopt	START	B2	verb
573	analyze		B2	verb
574	arrange	PUT IN POSITION	B2	verb
575	assess		B2	verb
576	avoid	PREVENT	B2	verb
577	beat	HIT	B2	verb
578	bury	HIDE	B2	verb
579	calculate	MATH	B2	verb
580	capture	CATCH	B2	verb
581	clear		B2	verb
582	clutch		C2	verb
583	catch	TAKE HOLD	A1	verb
584	change	START SOMETHING NEW	A1	verb
585	choose		A1	verb
586	close	DOOR/WINDOW	A1	verb
587	check	EXAMINE	A2	verb
588	climb	PERSON	A2	verb
589	arrange	PLAN	B1	verb
590	attend	BE PRESENT	B1	verb
591	babysit		B1	verb
592	clap		B1	verb
593	approach	COME CLOSE	B2	verb
594	assist		B2	verb
595	bang		B2	verb
596	bend	BODY	B2	verb
597	brush	TOUCH	B2	verb
598	charge	ATTACK	B2	verb
599	chase	RUN AFTER	B2	verb
600	combine		B2	verb
601	blow	SOUND	C2	verb
602	carve		C2	verb
603	adult		A1	noun
604	baby	CHILD	A1	noun
605	beard		A1	noun
606	boy		A1	noun
607	comb		A2	noun
608	adolescent		C2	noun
609	beauty	BEING BEAUTIFUL	B1	noun
610	childhood		B1	noun
611	background	EXPERIENCE	B1	noun
612	chance	RISK	B2	noun
613	brain	INTELLIGENCE	C1	noun
614	bully		C1	noun
615	character	INTERESTING PERSON	C1	noun
616	anger		B2	noun
617	anxiety		B2	noun
618	appeal	QUALITY	B2	noun
619	certainty	BEING SURE	B2	noun
620	charisma		C2	noun
621	attitude		B1	noun
622	character	QUALITIES/PERSONALITY	B1	noun
623	charm	QUALITY	B2	noun
624	care	LOVE	B1	verb
625	appeal	ATTRACT	B2	verb
626	approve	GOOD OPINION	B2	verb
