	word	quideword	cerf	pos
608	beauty	BEING BEAUTIFUL	B1	noun
609	childhood		B1	noun
610	bit	SMALL AMOUNT	A2	noun
611	background	EXPERIENCE	B1	noun
612	chance	RISK	B2	noun
613	bully		C1	noun
614	character	INTERESTING PERSON	C1	noun
615	anger		B2	noun
616	anxiety		B2	noun
617	appeal	QUALITY	B2	noun
618	certainty	BEING SURE	B2	noun
619	charisma		C2	noun
620	attitude		B1	noun
621	character	QUALITIES/PERSONALITY	B1	noun
622	charm	QUALITY	B2	noun
623	care	LOVE	B1	verb
624	appeal	ATTRACT	B2	verb
625	approve	GOOD OPINION	B2	verb
626	belong	HAPPY SOMEWHERE	B2	verb
627	blush		B2	verb
628	believe	TRUE	A2	verb
629	bother	ANNOY	A2	verb
630	annoy		B1	verb
631	attract	ENCOURAGE INTEREST	B1	verb
632	admire	RESPECT	B2	verb
633	appreciate	VALUE	B2	verb
634	bear	ACCEPT	B2	verb
635	betray		B2	verb
636	bother	WORRY	B2	verb
637	behave	BE POLITE	B1	verb
638	care	WORRY	B1	verb
639	cheat		B2	verb
640	capital		A2	noun
641	citizen	LEGAL RIGHT	B2	noun
642	chancellor	MONEY	C2	noun
643	centre	POLITICAL	C2	noun
644	birthday		A1	noun
645	brother		A1	noun
646	aunt		A2	noun
647	boyfriend		A2	noun
648	anniversary		B1	noun
649	bride		B1	noun
650	ceremony		B1	noun
651	affair	RELATIONSHIP	B2	noun
652	bond		B2	noun
653	brother-in-law		B2	noun
654	circle	GROUP	B2	noun
655	bond		C2	verb
656	call	NAME	B1	verb
657	celebrate		B1	verb
658	adopt	TAKE CHILD	B2	verb
659	bag		A1	noun
660	ball	ROUND OBJECT	A1	noun
661	box	CONTAINER	A1	noun
662	bat	STICK	A2	noun
663	board	GAMES	A2	noun
664	board game		A2	noun
665	bookshop		A2	noun
666	card	GAME	A2	noun
667	basket		B1	noun
668	captain	SPORTS	B1	noun
669	chain	BUSINESS	B1	noun
670	champion	WINNER	B1	noun
671	checkout	SHOP	B1	noun
672	arrow	WEAPON	B2	noun
673	brand		B2	noun
674	catalogue		B2	noun
675	business	SELLING	A1	noun
676	badminton		A2	noun
677	chess		A2	noun
678	athletics		B1	noun
679	basketball		A1	noun
680	baseball		A2	noun
681	attack	SPORT	B1	noun
682	come	BE AVAILABLE	A2	verb
683	appear	BECOME AVAILABLE	B2	verb
684	browse	LOOK	B2	verb
685	beat	DEFEAT	B1	verb
686	address	ELECTRONIC	A1	noun
687	CD		A1	noun
688	button	ON MACHINE	B1	noun
689	card	COMPUTER	B1	noun
690	backup	COPY	B2	noun
691	bookmark		B2	noun
692	breakdown	NOT WORKING	B2	noun
693	bug	COMPUTER	B2	noun
694	bulb		B2	noun
695	chip	COMPUTER PART	B2	noun
696	access	RIGHT/OPPORTUNITY	B1	noun
697	broadband		B2	noun
698	CD-ROM		B1	noun
699	cable	WIRE	B2	noun
700	attach	COMPUTING	B1	verb
701	access		B2	verb
702	bookmark		B2	verb
703	burn	COPY	B2	verb
704	browse	COMPUTING	B2	verb
705	charge	ELECTRICITY	B2	verb
706	boat	FOR TRAVEL ON WATER	A1	noun
707	bus		A1	noun
708	car		A1	noun
709	aeroplane		A2	noun
710	airport		A2	noun
711	bicycle		A2	noun
712	bike	BICYCLE	A2	noun
713	bus station		A2	noun
714	bus stop		A2	noun
715	car park		A2	noun
716	case	BAG	A2	noun
717	coach	VEHICLE	A2	noun
718	boot	CAR	B1	noun
719	brake		B1	noun
720	cab		B1	noun
721	cabin	AIRCRAFT	B1	noun
722	campsite		B1	noun
723	check-in (desk)		B1	noun
724	check-in (counter)		B1	noun
725	aircraft		B2	noun
726	captain	SHIP/AIRCRAFT	B2	noun
727	carriage	TRAIN	C1	noun
728	cabin	SHIP	C2	noun
729	carriage	WITH HORSE	C2	noun
730	air	AIRCRAFT	A2	noun
731	baggage	CASES	B1	noun
732	approach	COMING CLOSER	B2	noun
733	adventure		A2	noun
734	camp	TENTS/BUILDINGS	B1	noun
735	camp		A2	verb
736	accelerate	VEHICLE	C2	verb
737	catch	TRAVEL	A1	verb
738	carry	TRANSPORT	B2	verb
739	book		A2	verb
740	board		B1	verb
741	boss		A2	noun
742	business	ORGANIZATION	A2	noun
743	businessman		A2	noun
744	businesswoman		A2	noun
745	agency	BUSINESS	B1	noun
746	architect		B1	noun
747	career	JOB	B1	noun
748	agent	SECRET INFORMATION	B2	noun
749	analyst		B2	noun
750	chief		B2	noun
751	client		B2	noun
752	bid	OFFER	C1	noun
